ARO_accession,ARO_name,ARO_description,"AMR Gene Family","Drug Class","Antibiotic class","Resistance Mechanism",Total_reads,Gene_Count
ARO:3002892,otr(B),"otr(B) is a tetracycline resistance efflux pump found in Streptomyces rimosus","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",12452,234
ARO:3002893,tcr3,"tcr3 is a tetracycline efflux pump that confers self-resistance to Kitasatospora aureofaciens","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",42240,211
ARO:3002894,otrC,"otrC is a tetracycline resistance efflux pump found in Streptomyces rimosus","ATP-binding cassette (ABC) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",148572,1548
ARO:3002895,SAT-2,"SAT-2 is a plasmid-mediated streptothricin acetyltransferase, which confers resistance to streptothricin, a nucleoside antibiotic. Originally described from an E. coli plasmid sequence by Heim et al., 1989.","streptothricin acetyltransferase (SAT)","nucleoside antibiotic",Nucleoside,"antibiotic inactivation",1226,7
ARO:3002897,SAT-4,"SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al, 1994.","streptothricin acetyltransferase (SAT)","nucleoside antibiotic",Nucleoside,"antibiotic inactivation",13656,94
ARO:3002898,SAT-3,"SAT-3 is a plasmid-mediated streptothricin acetyltransferase and streptothricin resistance determinant. Originally described from an E. coli plasmid gene by Tietze and Brevet, 1995.","streptothricin acetyltransferase (SAT)","nucleoside antibiotic",Nucleoside,"antibiotic inactivation",3580,43
ARO:3002907,vanE,"VanE is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity in Enterococcus faecalis","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",159162,1080
ARO:3002908,vanF,"VanF is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance in Paenibacillus popilliae","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",41750,418
ARO:3002909,vanG,"VanG is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity in Enterococcus faecalis","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",398590,2818
ARO:3002910,vanL,"VanL is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity in Enterococcus faecalis","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",101760,878
ARO:3002911,vanM,"VanM is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance.","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",37442,351
ARO:3002912,vanN,"VanN is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity in Enterococcus faecium","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",81428,412
ARO:3002913,vanO,"VanO is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance.","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",123180,998
ARO:3002914,vanJ,"vanJ is a novel membrane protein that confers resistance to teicoplanin and its derivatives in Streptomyces coelicolor by recycling undecaprenol pyrophosphate during cell wall biosynthesis.","vanJ membrane protein","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",226,9
ARO:3002919,vanRA,"vanRA, also known as vanR, is a vanR variant found in the vanA gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",162456,959
ARO:3002921,vanRB,"vanRB is a vanR variant found in the vanB gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",251258,1543
ARO:3002922,vanRC,"vanRC is a vanR variant found in the vanC gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",112782,893
ARO:3002923,vanRD,"vanRD is a mutated vanR variant found in the vanD gene cluster that caused constitutive expression of vanD peptidoglycan synthesis","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",31390,307
ARO:3002924,vanRE,"vanRE is a vanR variant found in the vanE gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",275108,1912
ARO:3002925,vanRF,"vanRF is a vanR variant found in the vanF gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",1330196,8694
ARO:3002926,vanRG,"vanRG is a vanR variant found in the vanG gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",234434,1723
ARO:3002927,vanRL,"vanRL is a vanR variant found in the vanL gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",90692,664
ARO:3002928,vanRM,"vanRM is a vanR variant found in the vanM gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",499852,3775
ARO:3002929,vanRN,"vanRN is a vanR variant found in the vanN gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",48458,483
ARO:3002930,vanRO,"vanRO is a vanR variant found in the vanO gene cluster","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",98332,663
ARO:3002931,vanSA,"vanSA, also known as vanS, is a vanS variant found in the vanA gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",231226,1442
ARO:3002932,vanSB,"vanSB is a vanS variant found in the vanB gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",157520,818
ARO:3002933,vanSC,"vanSC is a vanS variant found in the vanC gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",145942,631
ARO:3002934,vanSD,"vanSD is a mutated vanS variant found in the vanD gene cluster that caused constitutive expression of vanD peptidoglycan synthesis","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",15584,151
ARO:3002935,vanSE,"vanSE is a vanS variant found in the vanE gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",364786,2186
ARO:3002936,vanSF,"vanSF is a vanS variant found in the vanF gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",468146,3159
ARO:3002937,vanSG,"vanSG is a vanS variant found in the vanG gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",839850,3252
ARO:3002938,vanSL,"vanSL is a vanS variant found in the vanL gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",105006,779
ARO:3002939,vanSM,"vanSM is a vanS variant found in the vanM gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",597040,3466
ARO:3002940,vanSN,"vanSN is a vanS variant found in the vanN gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",123192,1006
ARO:3002941,vanSO,"vanSO is a vanS variant found in the vanO gene cluster","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",140048,952
ARO:3002942,vanHA,"vanHA, also known as vanH, is a vanH variant in the vanA gene cluster","glycopeptide resistance gene cluster;vanH","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",305774,1644
ARO:3002943,vanHB,"vanHB is a vanH variant in the vanB gene cluster","glycopeptide resistance gene cluster;vanH","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",425842,2477
ARO:3002944,vanHD,"vanHD is a vanH variant in the vanD gene cluster","glycopeptide resistance gene cluster;vanH","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",499818,2869
ARO:3002945,vanHF,"vanHF is a vanH variant in the vanF gene cluster","glycopeptide resistance gene cluster;vanH","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",334060,1782
ARO:3002947,vanHM,"vanHM is a vanH variant in the vanM gene cluster","glycopeptide resistance gene cluster;vanH","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",258492,1357
ARO:3002948,vanHO,"vanHO is a vanH variant in the vanO gene cluster","glycopeptide resistance gene cluster;vanH","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",518280,2937
ARO:3002949,vanXA,"vanXA, also known as vanX, is a vanX variant found in the vanA gene cluster","glycopeptide resistance gene cluster;vanX","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",82396,452
ARO:3002950,vanXB,"vanXB is a vanX variant found in the vanB gene cluster","glycopeptide resistance gene cluster;vanX","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",150662,833
ARO:3002952,vanXF,"vanXF is a vanX variant found in the vanF gene cluster","glycopeptide resistance gene cluster;vanX","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",38948,129
ARO:3002953,vanXM,"vanXM is a vanX variant found in the vanM gene cluster","glycopeptide resistance gene cluster;vanX","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",154038,870
ARO:3002954,vanXO,"vanXO is a vanX variant found in the vanO gene cluster","glycopeptide resistance gene cluster;vanX","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",57642,404
ARO:3002955,vanYA,"vanYA, also known as vanY, is a vanY variant found in the vanA gene cluster","glycopeptide resistance gene cluster;vanY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",128908,1184
ARO:3002956,vanYB,"vanYB is a vanY variant found in the vanB gene cluster","glycopeptide resistance gene cluster;vanY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",355054,1729
ARO:3002957,vanYD,"vanYD is a vanY variant found in the vanD gene cluster","glycopeptide resistance gene cluster;vanY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",4,1
ARO:3002958,vanYF,"vanYF is a vanY variant found in the vanF gene cluster","glycopeptide resistance gene cluster;vanY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",171476,1378
ARO:3002959,vanYG1,"vanYG1 is a vanY variant found in the vanG gene cluster","glycopeptide resistance gene cluster;vanY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",121358,655
ARO:3002961,vanYM,"vanYM is a vanY variant found in the vanM gene cluster","glycopeptide resistance gene cluster;vanY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",65472,644
ARO:3002962,vanZA,"vanZA, also known as vanZ, is a vanZ variant found in the vanA gene cluster","glycopeptide resistance gene cluster;vanZ","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",25946,214
ARO:3002963,vanZF,"vanZF is a vanZ variant found in the vanF gene cluster","glycopeptide resistance gene cluster;vanZ","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",53880,433
ARO:3002964,vanWB,"vanWB, also known as vanW, is a vanW variant found in the vanB gene cluster","glycopeptide resistance gene cluster;vanW","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",71144,519
ARO:3002965,vanWG,"vanWG is a vanW variant found in the vanG gene cluster","glycopeptide resistance gene cluster;vanW","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",25610,277
ARO:3002966,vanXYC,"vanXYC is a vanXY variant found in the vanC gene cluster","glycopeptide resistance gene cluster;vanXY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",19248,230
ARO:3002967,vanXYE,"vanXYE is a vanXY variant found in the vanE gene cluster","glycopeptide resistance gene cluster;vanXY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",22248,205
ARO:3002968,vanXYL,"vanXYL is a vanXY variant found in the vanL gene cluster","glycopeptide resistance gene cluster;vanXY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",66580,433
ARO:3002969,vanXYN,"vanXYN is a vanXY variant found in the vanN gene cluster","glycopeptide resistance gene cluster;vanXY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",189676,951
ARO:3002970,vanTC,"vanTC is a vanT variant found in the vanC gene cluster","glycopeptide resistance gene cluster;vanT","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",140944,1272
ARO:3002971,vanTE,"vanTE is a vanT variant found in the vanE gene cluster","glycopeptide resistance gene cluster;vanT","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",70846,567
ARO:3002972,vanTG,"vanTG is a vanT variant found in the vanG gene cluster","glycopeptide resistance gene cluster;vanT","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",1007052,5603
ARO:3002973,vanTmL,"vanTmL is a vanT variant found in the vanL gene cluster. vanTmL codes for the membrane-binding domain of vanTL","glycopeptide resistance gene cluster;vanT","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",132,3
ARO:3002974,vanTrL,"vanTrL is a vanT variant found in the vanL gene cluster. vanTrL codes for the racemase component of vanT","glycopeptide resistance gene cluster;vanT","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",83748,676
ARO:3002975,vanTN,"vanTN is a vanT variant found in the vanN gene cluster","glycopeptide resistance gene cluster;vanT","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",112396,605
ARO:3002982,amrA,"amrA is the efflux pump subunit of the AmrAB-OprM multidrug efflux complex. amrA corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic",Multidrug,"antibiotic efflux",11470,107
ARO:3002983,amrB,"amrB is the membrane fusion protein of the AmrAB-OprM multidrug efflux complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic",Multidrug,"antibiotic efflux",18474,118
ARO:3002985,arnA,"arnA modifies lipid A with 4-amino-4-deoxy-L-arabinose (Ara4N) which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. arnA is found in E. coli and P. aeruginosa.","pmr phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",745624,4290
ARO:3002986,bacA,"The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.","undecaprenyl pyrophosphate related proteins","peptide antibiotic",Peptide,"antibiotic target alteration",1019848,6440
ARO:3002987,bcrA,"bcrA is an ABC transporter found in Bacillus licheniformis that confers bacitracin resistance","ATP-binding cassette (ABC) antibiotic efflux pump","peptide antibiotic",Peptide,"antibiotic efflux",4181660,25667
ARO:3002988,bcrB,"bcrB is an ABC transporter found in Bacillus licheniformis that confers bacitracin resistance","ATP-binding cassette (ABC) antibiotic efflux pump","peptide antibiotic",Peptide,"antibiotic efflux",2250,10
ARO:3002993,AQU-1,"AQU-1 is a chromosomal class C beta-lactamase found in clinical Aeromonas dhakensis isolates","AQU beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",2114,15
ARO:3002995,ROB-1,"ROB-1 is a beta-lactamase found in Pasteurella and Haemophilus","ROB beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",554,6
ARO:3002997,LCR-1,"LCR-1 is a class D beta-lactamase found in Pseudomonas aeruginosa","LCR beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",4,1
ARO:3002999,CblA-1,"CblA-1 beta-lactamase is a class A beta-lactamase found in Bacteroides uniformis that is species-specific.","CblA beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",348,3
ARO:3003002,CfxA2,"cfxA2 beta-lactamase is a class A beta-lactamase found in Prevotella intermedia","CfxA beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",38092,23
ARO:3003003,CfxA3,"cfxA3 beta-lactamase is a class A beta-lactamase found in Capnocytophaga ochracea","CfxA beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",140276,1
ARO:3003005,CfxA4,"cfxA4 beta-lactamase is a class A beta-lactamase found in Bacteroides fragilis","CfxA beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",60,1
ARO:3003006,blt,"blt is an MFS efflux pump that confers resistance to multiple drugs such as rhodamine and acridine dyes, and fluoroquinolone antibiotics","major facilitator superfamily (MFS) antibiotic efflux pump","acridine dye;fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",2694,66
ARO:3003007,bmr,"bmr is an MFS antibiotic efflux pump that confers resistance to multiple drugs including acridine dyes, fluoroquinolone antibiotics, chloramphenicol, and puromycin","major facilitator superfamily (MFS) antibiotic efflux pump","acridine dye;fluoroquinolone antibiotic;nucleoside antibiotic;phenicol antibiotic",Multidrug,"antibiotic efflux",1080,28
ARO:3003009,ceoA,"ceoA is a periplasmic linker subunit of the CeoAB-OpcM efflux pump","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic;fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",16182,134
ARO:3003010,ceoB,"ceoB is a cytoplasmic membrane component of the CeoAB-OpcM efflux pump","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic;fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",93240,488
ARO:3003011,dfrA10,"dfrA10 is an integron-encoded dihydrofolate reductase found in Klebsiella pneumoniae","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",734,11
ARO:3003013,dfrA15,"dfrA15 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",42,1
ARO:3003014,dfrA16,"dfrA16 is an integron-encoded dihydrofolate reductase found in Salmonella enterica","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",12,1
ARO:3003015,dfrA19,"dfrA19 is an integron-encoded dihydrofolate reductase found in Klebsiella pneumoniae","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",14,1
ARO:3003016,dfrA20,"dfrA20 is a plasmid-encoded dihydrofolate reductase found in Pasteurella multocida","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",78850,656
ARO:3003017,dfrA21,"dfrA21 is an integron-encoded dihydrofolate reductase found in Salmonella enterica","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",528,13
ARO:3003018,dfrA22,"dfrA22 is an integron-encoded dihydrofolate reductase found in Salmonella enterica","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",4762,50
ARO:3003019,dfrA23,"dfrA23 is an integron-encoded dihydrofolate reductase found in Salmonella enterica","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",16,1
ARO:3003023,dfrB6,"dfrB6 is an integron-encoded dihydrofolate reductase found in Salmonella enterica","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",2,1
ARO:3003026,fusH,"fusH is a highly specific fusidic acid esterase found in Streptomyces lividans","fusidic acid inactivation enzyme","fusidic acid","Fusidic acid","antibiotic inactivation",956,13
ARO:3003030,MexV,"MexV is the membrane fusion protein of the MexVW-OprM multidrug efflux complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",78146,356
ARO:3003031,MexW,"MexW is the RND-type membrane protein of the efflux complex MexVW-OprM.","resistance-nodulation-cell division (RND) antibiotic efflux pump","acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",243200,1220
ARO:3003033,mexY,"MexY is the RND-type membrane protein of the efflux complex MexXY-OprM.","resistance-nodulation-cell division (RND) antibiotic efflux pump","acridine dye;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",25408,212
ARO:3003034,mexX,"MexX is the membrane fusion protein of the MexXY-OprM multidrug efflux complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","acridine dye;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",3950,28
ARO:3003035,mfpA,"mfpA is a qnr homolog and a pentapeptide repeat protein that confers resistance to fluoroquinolones in Mycolicibacterium smegmatis","quinolone resistance protein (qnr)","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic target protection",23710,318
ARO:3003036,oleB,"oleB is an ABC-F subfamily protein in Streptomyces antibioticus and is involved in oleandomycin secretion","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",235804,2239
ARO:3003037,opcM,"OpcM is an outer membrane factor protein found in Burkholderia cepacia. It is part of the CeoAB-OpcM complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic;fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",12318,108
ARO:3003039,OprA,"OprA is an outer membrane factor protein found in Pseudomonas aeruginosa. It is part of the MexXY-OprA complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic;carbapenem;fluoroquinolone antibiotic;macrolide antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",27386,152
ARO:3003046,qacA,"qacA is a subunit of the qac multidrug efflux pump","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",46914,105
ARO:3003047,qacB,"qacB is a subunit of the qac multidrug efflux pump","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Multidrug,"antibiotic efflux",1358,45
ARO:3003048,rosA,"rosA is part of an efflux pump/potassium antiporter system (RosAB) in Yersinia that confers resistance to cationic antimicrobial peptides such as polymyxin B.","major facilitator superfamily (MFS) antibiotic efflux pump","peptide antibiotic",Peptide,"antibiotic efflux",30416,232
ARO:3003049,rosB,"rosB is part of an efflux pump/potassium antiporter system (RosAB) in Yersinia that confers resistance to cationic antimicrobial peptides such as polymyxin B.","major facilitator superfamily (MFS) antibiotic efflux pump","peptide antibiotic",Peptide,"antibiotic efflux",63608,356
ARO:3003051,smeA,"smeA is the membrane fusion protein of the smeABC multidrug efflux complex in Stenotrophomonas maltophilia","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic;cephalosporin;cephamycin;penam",Multidrug,"antibiotic efflux",23784,141
ARO:3003052,smeB,"smeB is the inner membrane multidrug exporter of the efflux complex smeABC in Stenotrophomonas maltophilia","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic;cephalosporin;cephamycin;penam",Multidrug,"antibiotic efflux",17656,146
ARO:3003053,smeC,"smeC is an outer membrane multidrug efflux protein of the smeABC complex in Stenotrophomonas maltophilia","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic;cephalosporin;cephamycin;penam",Multidrug,"antibiotic efflux",18722,115
ARO:3003055,smeD,"smeD is the membrane fusion protein of the smeDEF multidrug efflux complex in Stenotrophomonas maltophilia","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",20004,187
ARO:3003056,smeE,"smeE is the RND protein of the efflux complex smeDEF in Stenotrophomonas maltophilia","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",41448,370
ARO:3003057,smeF,"smeF is an outer membrane multidrug efflux protein of the smeDEF complex in Stenotrophomonas maltophilia","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",36864,262
ARO:3003059,tmrB,"tmrB is an ATP-binding tunicamycin resistance protein found in Bacillus subtilis","tunicamycin resistance protein","nucleoside antibiotic",Nucleoside,"reduced permeability to antibiotic",1452,22
ARO:3003060,tsnR,"tsnR is a 23S ribosomal RNA methyltransferase that methylates adenosine-1067 to confer resistance to thiostrepton","non-erm 23S ribosomal RNA methyltransferase (A1067)","peptide antibiotic",Peptide,"antibiotic target alteration",52426,379
ARO:3003061,vph,"vph is a phosphotransferase that confers resistance to viomycin in Streptomyces vinaceus","viomycin phosphotransferase","peptide antibiotic",Peptide,"antibiotic inactivation",18,2
ARO:3003063,ykkC,"ykkC is an SMR-type protein that is a subunit of the ykkCD efflux pump","small multidrug resistance (SMR) antibiotic efflux pump","aminoglycoside antibiotic;phenicol antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",3306,91
ARO:3003064,ykkD,"ykkD is an SMR-type protein that is a subunit of the ykkCD efflux pump","small multidrug resistance (SMR) antibiotic efflux pump","aminoglycoside antibiotic;phenicol antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",1858,55
ARO:3003066,smeR,"smeR is the responder component of a two component signal transduction system that includes smeS","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic;cephalosporin;cephamycin;penam",Multidrug,"antibiotic efflux",174978,1333
ARO:3003067,smeS,"smeS is the protein kinase sensor component of a two component signal transduction system that includes smeR","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic;cephalosporin;cephamycin;penam",Multidrug,"antibiotic efflux",1467978,9206
ARO:3003069,vanXYG,"vanXYG is a vanXY variant found in the vanG gene cluster","glycopeptide resistance gene cluster;vanXY","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",42098,301
ARO:3003070,vanXD,"vanXD is a vanX variant found in the vanD gene cluster","glycopeptide resistance gene cluster;vanX","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",39634,222
ARO:3003071,mphF,"mphF is a macrolide phosphotransferase and resistance gene identified on the IncP plasmid pRSB111","macrolide phosphotransferase (MPH)","macrolide antibiotic",MLS,"antibiotic inactivation",10,2
